id,visible,title,price,old_price,ribbon,cover,sku,category,short_desc,long_desc
book-01,false,Атрибуты Русских Богов,80,0,,atributy-russkih-bogov-126-B.jpg,978-5-91898-003-3,,"В этой книге Автор описывает атрибуты русских Богов, даты контакта с богами их функций.","В этой книге Автор описывает атрибуты русских Богов, даты контакта с богами их функций."
book-02,false,Арканы Божественых Событий,0,0,,arkany-bozhestvenyh-sobytii-144-B.jpg,,,Арканы Божественых Событий,Арканы Божественых Событий
book-03,true,Бабы Яги - Кто Они,1500,0,,baby-yagi-kto-oni-137-B.jpg,978-5-91898-002-6,в-поисках-сокровенного;рекомендованные-для-учащихся-шж,"Рукописи не горят. Ничто и никогда не исчезает бесследно. Такие мысли сразу приходят на память после прочтения этой книги. Что было, то и бу...","Рукописи не горят. Ничто и никогда не исчезает бесследно. Такие мысли сразу приходят на память после прочтения этой книги. Что было, то и будет, русская волшебная культура не умерла и не может умереть, даже если останется только один ее представитель. Не дайте ей исчезнуть, берегите ее, дополняйте утраченным, передавайте другим- в этом залог ее сохранения.Книга посвящена описанию техник достижения чудесных вещей, которые с корнем вырваны и продолжают искореняться из русской волшебной культуры. Но есть надежда, что это лишь начало исследования, если продолжится диалог с настоящими носителями исчезающей культуры.Книга расчитана на всех, кто пытается приблизится к источнику волшебных знаний.&nbsp;&nbsp;"
book-04,true,Волхвы,800,0,,volhvy-64-B.jpg,978-59024-4405-5,в-поисках-сокровенного;рекомендованные-для-учащихся-шж,"Все люди по своей природе продолжают оставаться&nbsp; богами , хотя и лишены памяти о своих прошлых - божественных воплощениях. Их высокие д...","Все люди по своей природе продолжают оставаться&nbsp; богами , хотя и лишены памяти о своих прошлых - божественных воплощениях. Их высокие достижения были обусловлены нашей древней религией - православием и нашей древней верой - правоверием, канувшим в Лету, как и все былое могущество наших предков. О них и пойдет речь в предлагаемой работе."
book-05,false,Вопросы и ответы,110,0,,voprosy-i-otvety-231-B.jpg,,,"Книга ""Вопросы и ответы"" посвящена наиболее часто задаваемым вопросам по ВОКК, сюда же включены отзывы читателей на книги автора серии ""В по...","Книга ""Вопросы и ответы"" посвящена наиболее часто задаваемым вопросам по ВОКК, сюда же включены отзывы читателей на книги автора серии ""В поисках сокровенного""."
book-06,true,Встреча с Кощеем Бессмертным,700,0,,vstrecha-s-koscheem-bessmertnym-127-B.jpg,978-5-93897-010-5,в-поисках-сокровенного,"Сегодня конечность человеческой жизни воспринимается нами как естественное, само собой разумеющееся явление. Но заложена ли смерть во внутре...","Сегодня конечность человеческой жизни воспринимается нами как естественное, само собой разумеющееся явление. Но заложена ли смерть во внутренней биологической природе человека? Предлагаемая работа доказывает, что убеждение большинства людей в невозможности физического бессмертия есть не что иное, как исторически сложившаяся догма, родственная в уверенности в том, что ""камни с неба падать не могут, потому, что их там нет"". Физическое бессмертие индивида возможно, считает автор этой книги и лишь упорство человеческого невежества мешает людям признать эту истину."
book-07,true,Диалог Земля-Космос,1000,0,,dialog-zemlya-kosmos-146-B.jpg,978-5-902-444-03-9,рекомендованные-для-учащихся-шж;в-поисках-сокровенного,"Новое и дополненное издание! В этой книге сделана попытка ответить на вопросы, почему на земле не прекращаются войны и кризисы, почему с каж...","Новое и дополненное издание! В этой книге сделана попытка ответить на вопросы, почему на земле не прекращаются войны и кризисы, почему с каждым годом, несмотря на рост производства, не происходит улучшение положения людей, а наоборот, ухудшение. Почему преследуются изобретатели эпохальных открытий, ученые, открывшие новые явления и руководители филосовских школ, реально помогающие людям устроить свою жизнь. Кто стоит за переписыванием истории и уничтожением потрясающих, выходящих из ряда вон, археологических находок. Почему так упорно нам продолжают делать прививки в детском возрасте, хотя уже давно доказана их смертельная опасность? Кто придумывает образовательные реформы, которые от столетия к столетию ведут к дебилизации населения. Куда уходят добываемые ресурсы планеты, из которых только 5% идет на нужды Человечества, а 95% канут в неизвестности. Эта книга позволяет ответить на вопросы: кто является настоящим хозяином нашей планеты, и почему&nbsp; все благие начинания людей и политиков заканчиваются крахом, а жизнь на&nbsp;Земле как ни улучшалась, так и не улучшается.&nbsp;"
book-08,true,Древлеправославная цивилизация,800,0,,drevle_civil.jpg,976-5-91898-001-1,русская-волшебная-культура;рекомендованные-для-учащихся-шж,"В этой книге изложены главные традиции древлеправославной цивилизации, собранные&nbsp;из различных источников, и частично изложенные&nbsp;ав...","В этой книге изложены главные традиции древлеправославной цивилизации, собранные&nbsp;из различных источников, и частично изложенные&nbsp;автором из его работ из серии ""В поисках сокровенного"". и серии ""Русская Волшебная Культура"". Поэтому книга принадлежит одновременно двум сериям&nbsp;и рассчитана на широкий круг читателей."
book-09,false,Древлеправославный Календарь и пробелы в русской истории,250,0,,drevlepravoslavnyi-kalendar-131-B.jpg,978-6-91898-040-8,рекомендованные-для-учащихся-шж;в-поисках-сокровенного,"Эта книга посвящена вопросам влияния на человека, чисел и временных промежутков, которые определяют его судъбу, удачу, процветание или, наоб...","Эта книга посвящена вопросам влияния на человека, чисел и временных промежутков, которые определяют его судъбу, удачу, процветание или, наоборот, при незнании функций чисел и временных промежутков, можно так и остаться в поле несчастий, невезения и всевожможных напастей. Все это было отражено в древлеправославном календаре, в его строении и в праздничных датах, построенного нашими предками на фундаментальной базе функций натурального ряда чисел. В процессе исследования этого календаря вскрываются очень серьездные пробелы в наших знаниях о русской культуре и истории, которые мы и попытались здесь вспомнить."
book-10,false,Запрещённая история,200,0,,zapreschennaya-istoriya-230-B.jpg,978-5-91898-028-2,,"Книга ""Запрещённая история"" входит в серию ""В поисках сокровенного"" и вместе с ""Украденной историей"" автора является продолжением книги ""Рус...","Книга ""Запрещённая история"" входит в серию ""В поисках сокровенного"" и вместе с ""Украденной историей"" автора является продолжением книги ""Русь борейская"". В ней предпринята попытка объяснить, как высокоразвитая цивилизация, существовавшая на Земле по нынешним историческим меркам не так уж давно, следы которой тщательно уничтожаются и изымаются, была опущена на современный уровень. В книге дана общая панорама событий в недавней истории нашей планеты, которая не вписывается в классическую хронологию России. Проведённое расследование и сопоставление ""исторических документов"" выявило 100% фальсификацию русской истории. А на основе эпосов различных народов осуществлена попытка воссоздания хронологии трагических событий, которые пришлось пережить Русскому народу. Второе издание книги ""Запрещённая история"" существенно расширено и переработано."
book-11,true,Званиеслов. Имена-обереги,750,0,,Званиеслов2.jpg,978-5-91898-022-4,рекомендованные-для-учащихся-шж;русская-волшебная-культура,"Работа посвящена древлеправославной системе определения имён богов, необходимых для имени и звания человека. Славя русских богов, которые вх...","Работа посвящена древлеправославной системе определения имён богов, необходимых для имени и звания человека. Славя русских богов, которые входят в имя человека, верный древлеправославию получает не только душевную и духовную пищу, но и божественную судьбу. Только с помощью своих вычисленных божественных имён можно творить чудеса и обретать чудесные способности (сиддхи) и, в конце концов, как и наши предки, стать богом. В книге рассказано о ритуалах имянаречения и способах вызволения души умершего человека обратно в эту жизнь. Без божественных имён, человек не получает на том свете духовного питания (а другого питания там просто нет), потому что католические имена мучеников никто не славит. Поэтому, чтобы душа не умерла с голоду, она вынуждена воплощаться в кого попало, даже в животных и птиц, что для неё тоже означает в итоге гибель."
book-12,false,Именослов и Званиеслов,0,0,,imenoslov-i-zvanieslov-149-B.jpg,,,Именослов и Званиеслов,Именослов и Званиеслов
book-13,false,Именослов Имена - обереги,0,0,,imenoslov-imena-oberegi-136-B.jpg,,,"Работа посвящена древней системе определения имен, задающих человеку&nbsp; божественную судьбу и божественные возможности. Это дальнейшее ра...","Работа посвящена древней системе определения имен, задающих человеку&nbsp; божественную судьбу и божественные возможности. Это дальнейшее развитие темы ""Обереги"". Помимо практики определения и присвоения имени, рассказано о ритуалах имянаречения и способах воплощения души умершего человека в новорожденных его Рода, применяемых хранителями нашей древней веры."
book-14,true,Инструкция (дополнение к книге - Званиеслов. Имена-Обереги)новая обл.,750,0,,Инструкция-по-опр-имён-Электрон-web.jpg,978-5-91898-027-9,рекомендованные-для-учащихся-шж;русская-волшебная-культура,"Работа посвящена древлеправославной системе определения имён богов, необходимых для имени и звания человека. Славя русских богов, которые вх...","Работа посвящена древлеправославной системе определения имён богов, необходимых для имени и звания человека. Славя русских богов, которые входят в имя человека, верный древлеправославию получает не только душевную и духовную пищу, но и божественную судьбу. Только с помощью своих вычисленных божественных имён можно творить чудеса и обретать чудесные способности (сиддхи) и, в конце концов, как и наши предки, стать богом. В книге рассказано о ритуалах имянаречения и способах вызволения души умершего человека обратно в эту жизнь. Без божественных имён, человек не получает на том свете духовного питания (а другого питания там просто нет), потому что католические имена мучеников никто не славит. Поэтому, чтобы душа не умерла с голоду, она вынуждена воплощаться в кого попало, даже в животных и птиц, что для неё тоже означает в итоге гибель.Книга снабжена таблицами и схемами для определения древлеправославных имён, в дополнение к книге ""Званиеслов""."
book-15,true,Искры,700,0,,iskri.jpg,978-5-918-98-024-9,,Первая телепатическая книга,Первая телепатическая книга
book-16,true,Как Нам Вернуть Рай,900,0,,kak-nam-vernut-rai-138-B.jpg,978-5-902444-05-5,рекомендованные-для-учащихся-шж;в-поисках-сокровенного,"Исправленное и дополненное издание! Настоящий сборник исследований посвящен описанию достижений древних цивилизаций, причин их гибели и путе...","Исправленное и дополненное издание! Настоящий сборник исследований посвящен описанию достижений древних цивилизаций, причин их гибели и путей возвращения Человечества обратно к своему прежнему могуществу. Он состоит из трех частей.&nbsp; Первая- ""Наши Предки""- выходит существенно дополненной новыми материалами. Вторая часть, вошедшая в этот сборник, ""Истоки лунного культа"", также переработана, исправлена и дополнена новой информацией. В третьей части ""Возвращения Рая на Землю"" сконцентрированы материалы исследований о том , что необходимо сделать, чтобы вернуть на Землю утраченный Рай."
